User_id,History_course_id,History_course_name
user0038,"3361, 3369, 3399","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning"
user0039,"2087, 2157, 2202, 2306, 2814, 2896","Advanced Business Analytics Capstone, Excel Basics for Data Analysis, Big Data - Capstone Project, Basic Sentiment Analysis with TensorFlow, Practical Machine Learning on H2O"
user0040,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0041,"0075, 0343, 0913","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Getting started with TensorFlow 2, Data Modeling and Regression Analysis in Business"
user0042,"1045, 1586","Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Functional Programming in Scala Capstone"
user0043,"2862, 2896, 2946","Introduction to Data Analytics for Business, Performing Network, Path, and Text Analyses in SAS Visual Analytics, AI Workflow: AI in Production"
user0044,"2144, 2202, 2215, 2306, 2353, 2401, 2402","AI Workflow: Enterprise Model Deployment, Hyperparameter Tuning with Keras Tuner, Data Science for Business Innovation, AI Workflow: Business Priorities and Data Ingestion, Intro to Time Series Analysis in R, Supervised Learning: Regression, Supervised Learning: Regression"
user0045,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0046,"0075, 0343, 0913, 1045, 1586, 1588","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O"
user0047,"3384, 3398, 3465, 3472, 3475, 3483","Applied AI with Deep Learning, Population Health: Predictive Analytics, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project"
user0048,"3475, 3483, 3491, 3503, 3361, 3369, 3370","Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business, Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow"
user0049,"3465, 3472, 3475, 3483, 3491, 3503","Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0050,"0241, 2558, 3025, 3503","Deploy Models with TensorFlow Serving and Flask, Linear Regression with Python, Build a Data Science Web App with Streamlit and Python, Data Modeling and Regression Analysis in Business"
user0051,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0052,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0053,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0054,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0055,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0056,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0057,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0058,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0059,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0060,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0061,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0062,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0063,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0064,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0065,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0066,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0067,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0068,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0069,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0070,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0071,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0072,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0073,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion,"
user0074,"0385, 0992, 0670, 3469","Introduction to Machine Learning, Neural Networks and Deep Learning, Mining Quality Prediction Using Machine & Deep Learning, Getting started with TensorFlow 2"
user0075,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0076,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0077,"0385, 0992, 0670, 3469","Introduction to Machine Learning, Neural Networks and Deep Learning, Mining Quality Prediction Using Machine & Deep Learning, Getting started with TensorFlow 2"
user0078,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0079,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0080,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0081,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0082,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0083,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0084,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0085,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0086,"0385, 0992, 0670, 3469","Introduction to Machine Learning, Neural Networks and Deep Learning, Mining Quality Prediction Using Machine & Deep Learning, Getting started with TensorFlow 2"
user0087,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0088,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0089,"2450, 2530, 2588, 2602    ","Building Recommendation Engines in Python, Building Deep Learning Models with TensorFlow, Building Chatbots in Python, Building and Deploying Chatbots, Building a Recommendation System with Python"
user0090,"2190, 2836, 3184   "," Statistics with SAS, Querying Databases Using SQL SELECT statement, AI Workflow: Feature Engineering and Bias Detection"
user0091,"1677, 2154, 2530   "," NLP: Twitter Sentiment Analysis, Statistical Forecasting Techniques in Google Sheets, Building Deep Learning Models with TensorFlow"
user0092,"0670, 0992, 3469    ","Mining Quality Prediction Using Machine & Deep Learning, Neural Networks and Deep Learning, Getting started with TensorFlow 2"
user0093,"0992, 3469, 3503  ","Neural Networks and Deep Learning, Getting started with TensorFlow 2, Data Modeling and Regression Analysis in Business"
user0094,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0095,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0096,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0097,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0098," 0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0099,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0100,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0101,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0102,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0103,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0104,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0105,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0106,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0107,"2144, 2202, 2215, 2306, 2353, 2401","AI Workflow: Enterprise Model Deployment, Hyperparameter Tuning with Keras Tuner, Data Science for Business Innovation, AI Workflow: Business Priorities and Data Ingestion, Intro to Time Series Analysis in R, Supervised Learning: Regression"
user0108,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0109,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0110,"3361, 2708","Data Exploration and Visualization with Python, Machine Learning for Data Analysis"
user0111,"1366, 2486, 3352","Merge, Sort and Filter Data in Python Pandas, Feature Engineering, Graph Analytics for Big Data"
user0112,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0113,"1366, 2486, 3352","Merge, Sort and Filter Data in Python Pandas, Feature Engineering, Graph Analytics for Big Data"
user0114,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0115,"3361, 2708","Data Exploration and Visualization with Python, Machine Learning for Data Analysis"
user0116,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0117,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0118,"0636, 0637, 1787","Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0119,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0120,"0385, 0992, 0670, 3469","Introduction to Machine Learning, Neural Networks and Deep Learning, Mining Quality Prediction Using Machine & Deep Learning, Getting started with TensorFlow 2"
user0121,"3361, 2708","Data Exploration and Visualization with Python, Machine Learning for Data Analysis"
user0122,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0123,"0636, 0637, 1787","Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0124,"0636, 0637, 1787","Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0125,"0636, 0637, 1787","Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0126,"3361, 2708, 0636, 0637, 1787","Data Exploration and Visualization with Python, Machine Learning for Data Analysis, Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0127,"3361, 2708, 0636, 0637, 1787","Data Exploration and Visualization with Python, Machine Learning for Data Analysis, Exploratory Data Analysis, Exploratory Data Analysis, R Programming"
user0128,"0687, 0355, 1677","Sequence Models, Natural Language Processing with Probabilistic Models, NLP: Twitter Sentiment Analysis"
user0129,"1677, 2924, 1755, 2754, 2570, 2497, 1838","NLP: Twitter Sentiment Analysis, Machine Learning: Regression, Natural Language Processing with Sequence Models, Natural Language Processing with Classification and Vector Spaces, Text Mining and Analytics, Transfer Learning for NLP with TensorFlow Hub, Convolutions for Text Classification with Keras"
user0130,"3361, 3369, 3370, 3465, 3472, 3475, 3483, 3491, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Neural Network from Scratch in TensorFlow, Big Data Integration and Processing, Optimizing Machine Learning Performance, Support Vector Machines with scikit-learn, SQL for Data Science Capstone Project, Applied Data Science Capstone, Data Modeling and Regression Analysis in Business"
user0131,"3361, 3369, 3399, 3503","Data Exploration and Visualization with Python, Image Compression with K-Means Clustering, Fake News Detection with Machine Learning, Data Modeling and Regression Analysis in Business"
user0132,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0133,"0075, 0343, 0913, 1045, 1586, 1588, 2144","Communicating Data Science Results, Data Analytics for Lean Six Sigma, Increasing Real Estate Management Profits: Harnessing Data Analytics, Predictive Modeling and Analytics, Algorithms for DNA Sequencing, Practical Machine Learning on H2O, AI Workflow: Enterprise Model Deployment"
user0134,"2842, 2993, 3108, 3469, 3503","Visualization for Data Journalism, Population Health: Responsible Data Analysis, Hyperparameter Tuning with Keras Tuner, AI Workflow: Business Priorities and Data Ingestion, Introduction to Clinical Data Science, Performing Network, Path, and Text Analyses in SAS Visual Analytics"
user0135,"0385, 0992, 0670, 3469","Introduction to Machine Learning, Neural Networks and Deep Learning, Mining Quality Prediction Using Machine & Deep Learning, Getting started with TensorFlow 2"
